I_P  ,I_E,I_L  ,Q_E ,Q_P,Q_L  ,Labels
69077,29404,130467,72342,-78883,-93133,Spoofed
69078,29405,130468,72343,-78882,-93132,Spoofed
69079,29406,130469,72344,-78881,-93131,Spoofed
69080,29407,130470,72345,-78880,-93130,Spoofed
69081,29408,130471,72346,-78879,-93129,Spoofed
69082,29409,130472,72347,-78878,-93128,Spoofed
69083,29410,130473,72348,-78877,-93127,Spoofed
69084,29411,130474,72349,-78876,-93126,Spoofed
69085,29412,130475,72350,-78875,-93125,Spoofed
69086,29413,130476,72351,-78874,-93124,Spoofed
69087,29414,130477,72352,-78873,-93123,Spoofed
69088,29415,130478,72353,-78872,-93122,Spoofed
69089,29416,130479,72354,-78871,-93121,Spoofed
69090,29417,130480,72355,-78870,-93120,Spoofed
69091,29418,130481,72356,-78869,-93119,Spoofed
69092,29419,130482,72357,-78868,-93118,Spoofed
69093,29420,130483,72358,-78867,-93117,Spoofed
69094,29421,130484,72359,-78866,-93116,Spoofed
69095,29422,130485,72360,-78865,-93115,Spoofed
69096,29423,130486,72361,-78864,-93114,Spoofed
69097,29424,130487,72362,-78863,-93113,Spoofed
69098,29425,130488,72363,-78862,-93112,Spoofed
69099,29426,130489,72364,-78861,-93111,Spoofed
69100,29427,130490,72365,-78860,-93110,Spoofed
69101,29428,130491,72366,-78859,-93109,Spoofed
69102,29429,130492,72367,-78858,-93108,Spoofed
69103,29430,130493,72368,-78857,-93107,Spoofed
69104,29431,130494,72369,-78856,-93106,Spoofed
69105,29432,130495,72370,-78855,-93105,Spoofed
69106,29433,130496,72371,-78854,-93104,Spoofed
69107,29434,130497,72372,-78853,-93103,Spoofed
69108,29435,130498,72373,-78852,-93102,Spoofed
69109,29436,130499,72374,-78851,-93101,Spoofed
69110,29437,130500,72375,-78850,-93100,Spoofed
69111,29438,130501,72376,-78849,-93099,Spoofed
69112,29439,130502,72377,-78848,-93098,Spoofed
69113,29440,130503,72378,-78847,-93097,Spoofed
69114,29441,130504,72379,-78846,-93096,Spoofed
69115,29442,130505,72380,-78845,-93095,Spoofed
69116,29443,130506,72381,-78844,-93094,Spoofed
69117,29444,130507,72382,-78843,-93093,Spoofed
69118,29445,130508,72383,-78842,-93092,Spoofed
69119,29446,130509,72384,-78841,-93091,Spoofed
69120,29447,130510,72385,-78840,-93090,Spoofed
69121,29448,130511,72386,-78839,-93089,Spoofed
69122,29449,130512,72387,-78838,-93088,Spoofed
69123,29450,130513,72388,-78837,-93087,Spoofed
69124,29451,130514,72389,-78836,-93086,Spoofed
69125,29452,130515,72390,-78835,-93085,Spoofed
69126,29453,130516,72391,-78834,-93084,Spoofed
69127,29454,130517,72392,-78833,-93083,Spoofed
69128,29455,130518,72393,-78832,-93082,Spoofed
69129,29456,130519,72394,-78831,-93081,Spoofed
69130,29457,130520,72395,-78830,-93080,Spoofed
69131,29458,130521,72396,-78829,-93079,Spoofed
69132,29459,130522,72397,-78828,-93078,Spoofed
69133,29460,130523,72398,-78827,-93077,Spoofed
69134,29461,130524,72399,-78826,-93076,Spoofed
69135,29462,130525,72400,-78825,-93075,Spoofed
69136,29463,130526,72401,-78824,-93074,Spoofed
69137,29464,130527,72402,-78823,-93073,Spoofed
69138,29465,130528,72403,-78822,-93072,Spoofed
69139,29466,130529,72404,-78821,-93071,Spoofed
69140,29467,130530,72405,-78820,-93070,Spoofed
69141,29468,130531,72406,-78819,-93069,Spoofed
69142,29469,130532,72407,-78818,-93068,Spoofed
69143,29470,130533,72408,-78817,-93067,Spoofed
69144,29471,130534,72409,-78816,-93066,Spoofed
69145,29472,130535,72410,-78815,-93065,Spoofed
69146,29473,130536,72411,-78814,-93064,Spoofed
69147,29474,130537,72412,-78813,-93063,Spoofed
69148,29475,130538,72413,-78812,-93062,Spoofed
69149,29476,130539,72414,-78811,-93061,Spoofed
69150,29477,130540,72415,-78810,-93060,Spoofed
69151,29478,130541,72416,-78809,-93059,Spoofed
69152,29479,130542,72417,-78808,-93058,Spoofed
69153,29480,130543,72418,-78807,-93057,Spoofed
69154,29481,130544,72419,-78806,-93056,Spoofed
69155,29482,130545,72420,-78805,-93055,Spoofed
69156,29483,130546,72421,-78804,-93054,Spoofed
69157,29484,130547,72422,-78803,-93053,Spoofed
69158,29485,130548,72423,-78802,-93052,Spoofed
69159,29486,130549,72424,-78801,-93051,Spoofed
69160,29487,130550,72425,-78800,-93050,Spoofed
69161,29488,130551,72426,-78799,-93049,Spoofed
69162,29489,130552,72427,-78798,-93048,Spoofed
69163,29490,130553,72428,-78797,-93047,Spoofed
69164,29491,130554,72429,-78796,-93046,Spoofed
69165,29492,130555,72430,-78795,-93045,Spoofed
69166,29493,130556,72431,-78794,-93044,Spoofed
69167,29494,130557,72432,-78793,-93043,Spoofed
69168,29495,130558,72433,-78792,-93042,Spoofed
69169,29496,130559,72434,-78791,-93041,Spoofed
69170,29497,130560,72435,-78790,-93040,Spoofed
69171,29498,130561,72436,-78789,-93039,Spoofed
69172,29499,130562,72437,-78788,-93038,Spoofed
69173,29500,130563,72438,-78787,-93037,Spoofed
69174,29501,130564,72439,-78786,-93036,Spoofed
69175,29502,130565,72440,-78785,-93035,Spoofed
69176,29503,130566,72441,-78784,-93034,Spoofed
69177,29504,130567,72442,-78783,-93033,Spoofed
69178,29505,130568,72443,-78782,-93032,Spoofed
69179,29506,130569,72444,-78781,-93031,Spoofed
69180,29507,130570,72445,-78780,-93030,Spoofed
69181,29508,130571,72446,-78779,-93029,Spoofed
69182,29509,130572,72447,-78778,-93028,Spoofed
69183,29510,130573,72448,-78777,-93027,Spoofed
69184,29511,130574,72449,-78776,-93026,Spoofed
69185,29512,130575,72450,-78775,-93025,Spoofed
69186,29513,130576,72451,-78774,-93024,Spoofed
69187,29514,130577,72452,-78773,-93023,Spoofed
69188,29515,130578,72453,-78772,-93022,Spoofed
69189,29516,130579,72454,-78771,-93021,Spoofed
69190,29517,130580,72455,-78770,-93020,Spoofed
69191,29518,130581,72456,-78769,-93019,Spoofed
69192,29519,130582,72457,-78768,-93018,Spoofed
69193,29520,130583,72458,-78767,-93017,Spoofed
69194,29521,130584,72459,-78766,-93016,Spoofed
69195,29522,130585,72460,-78765,-93015,Spoofed
69196,29523,130586,72461,-78764,-93014,Spoofed
69197,29524,130587,72462,-78763,-93013,Spoofed
69198,29525,130588,72463,-78762,-93012,Spoofed
69199,29526,130589,72464,-78761,-93011,Spoofed
69200,29527,130590,72465,-78760,-93010,Spoofed
69201,29528,130591,72466,-78759,-93009,Spoofed
69202,29529,130592,72467,-78758,-93008,Spoofed
69203,29530,130593,72468,-78757,-93007,Spoofed
69204,29531,130594,72469,-78756,-93006,Spoofed
69205,29532,130595,72470,-78755,-93005,Spoofed
69206,29533,130596,72471,-78754,-93004,Spoofed
69207,29534,130597,72472,-78753,-93003,Spoofed
69208,29535,130598,72473,-78752,-93002,Spoofed
69209,29536,130599,72474,-78751,-93001,Spoofed
69210,29537,130600,72475,-78750,-93000,Spoofed
69211,29538,130601,72476,-78749,-92999,Spoofed
69212,29539,130602,72477,-78748,-92998,Spoofed
69213,29540,130603,72478,-78747,-92997,Spoofed
69214,29541,130604,72479,-78746,-92996,Spoofed
69215,29542,130605,72480,-78745,-92995,Spoofed
69216,29543,130606,72481,-78744,-92994,Spoofed
69217,29544,130607,72482,-78743,-92993,Spoofed
69218,29545,130608,72483,-78742,-92992,Spoofed
69219,29546,130609,72484,-78741,-92991,Spoofed
69220,29547,130610,72485,-78740,-92990,Spoofed
69221,29548,130611,72486,-78739,-92989,Spoofed
69222,29549,130612,72487,-78738,-92988,Spoofed
69223,29550,130613,72488,-78737,-92987,Spoofed
69224,29551,130614,72489,-78736,-92986,Spoofed
69225,29552,130615,72490,-78735,-92985,Spoofed
69226,29553,130616,72491,-78734,-92984,Spoofed
69227,29554,130617,72492,-78733,-92983,Spoofed
69228,29555,130618,72493,-78732,-92982,Spoofed
69229,29556,130619,72494,-78731,-92981,Spoofed
69230,29557,130620,72495,-78730,-92980,Spoofed
69231,29558,130621,72496,-78729,-92979,Spoofed
69232,29559,130622,72497,-78728,-92978,Spoofed
69233,29560,130623,72498,-78727,-92977,Spoofed
69234,29561,130624,72499,-78726,-92976,Spoofed
69235,29562,130625,72500,-78725,-92975,Spoofed
69236,29563,130626,72501,-78724,-92974,Spoofed
69237,29564,130627,72502,-78723,-92973,Spoofed
69238,29565,130628,72503,-78722,-92972,Spoofed
69239,29566,130629,72504,-78721,-92971,Spoofed
69240,29567,130630,72505,-78720,-92970,Spoofed
69241,29568,130631,72506,-78719,-92969,Spoofed
69242,29569,130632,72507,-78718,-92968,Spoofed
69243,29570,130633,72508,-78717,-92967,Spoofed
69244,29571,130634,72509,-78716,-92966,Spoofed
69245,29572,130635,72510,-78715,-92965,Spoofed
69246,29573,130636,72511,-78714,-92964,Spoofed
69247,29574,130637,72512,-78713,-92963,Spoofed
69248,29575,130638,72513,-78712,-92962,Spoofed
69249,29576,130639,72514,-78711,-92961,Spoofed
69250,29577,130640,72515,-78710,-92960,Spoofed
69251,29578,130641,72516,-78709,-92959,Spoofed
69252,29579,130642,72517,-78708,-92958,Spoofed
69253,29580,130643,72518,-78707,-92957,Spoofed
69254,29581,130644,72519,-78706,-92956,Spoofed
69255,29582,130645,72520,-78705,-92955,Spoofed
69256,29583,130646,72521,-78704,-92954,Spoofed
69257,29584,130647,72522,-78703,-92953,Spoofed
69258,29585,130648,72523,-78702,-92952,Spoofed
69259,29586,130649,72524,-78701,-92951,Spoofed
69260,29587,130650,72525,-78700,-92950,Spoofed
69261,29588,130651,72526,-78699,-92949,Spoofed
69262,29589,130652,72527,-78698,-92948,Spoofed
69263,29590,130653,72528,-78697,-92947,Spoofed
69264,29591,130654,72529,-78696,-92946,Spoofed
69265,29592,130655,72530,-78695,-92945,Spoofed
69266,29593,130656,72531,-78694,-92944,Spoofed
69267,29594,130657,72532,-78693,-92943,Spoofed
69268,29595,130658,72533,-78692,-92942,Spoofed
69269,29596,130659,72534,-78691,-92941,Spoofed
69270,29597,130660,72535,-78690,-92940,Spoofed
69271,29598,130661,72536,-78689,-92939,Spoofed
69272,29599,130662,72537,-78688,-92938,Spoofed
69273,29600,130663,72538,-78687,-92937,Spoofed
69274,29601,130664,72539,-78686,-92936,Spoofed
69275,29602,130665,72540,-78685,-92935,Spoofed
69276,29603,130666,72541,-78684,-92934,Spoofed
69277,29604,130667,72542,-78683,-92933,Spoofed
69278,29605,130668,72543,-78682,-92932,Spoofed
69279,29606,130669,72544,-78681,-92931,Spoofed
69280,29607,130670,72545,-78680,-92930,Spoofed
69281,29608,130671,72546,-78679,-92929,Spoofed
69282,29609,130672,72547,-78678,-92928,Spoofed
69283,29610,130673,72548,-78677,-92927,Spoofed
69284,29611,130674,72549,-78676,-92926,Spoofed
69285,29612,130675,72550,-78675,-92925,Spoofed
69286,29613,130676,72551,-78674,-92924,Spoofed
69287,29614,130677,72552,-78673,-92923,Spoofed
69288,29615,130678,72553,-78672,-92922,Spoofed
69289,29616,130679,72554,-78671,-92921,Spoofed
69290,29617,130680,72555,-78670,-92920,Spoofed
69291,29618,130681,72556,-78669,-92919,Spoofed
69292,29619,130682,72557,-78668,-92918,Spoofed
69293,29620,130683,72558,-78667,-92917,Spoofed
69294,29621,130684,72559,-78666,-92916,Spoofed
69295,29622,130685,72560,-78665,-92915,Spoofed
69296,29623,130686,72561,-78664,-92914,Spoofed
69297,29624,130687,72562,-78663,-92913,Spoofed
69298,29625,130688,72563,-78662,-92912,Spoofed
69299,29626,130689,72564,-78661,-92911,Spoofed
69300,29627,130690,72565,-78660,-92910,Spoofed
69301,29628,130691,72566,-78659,-92909,Spoofed
69302,29629,130692,72567,-78658,-92908,Spoofed
69303,29630,130693,72568,-78657,-92907,Spoofed
69304,29631,130694,72569,-78656,-92906,Spoofed
69305,29632,130695,72570,-78655,-92905,Spoofed
69306,29633,130696,72571,-78654,-92904,Spoofed
69307,29634,130697,72572,-78653,-92903,Spoofed
69308,29635,130698,72573,-78652,-92902,Spoofed
69309,29636,130699,72574,-78651,-92901,Spoofed
69310,29637,130700,72575,-78650,-92900,Spoofed
69311,29638,130701,72576,-78649,-92899,Spoofed
69312,29639,130702,72577,-78648,-92898,Spoofed
69313,29640,130703,72578,-78647,-92897,Spoofed
69314,29641,130704,72579,-78646,-92896,Spoofed
69315,29642,130705,72580,-78645,-92895,Spoofed
69316,29643,130706,72581,-78644,-92894,Spoofed
69317,29644,130707,72582,-78643,-92893,Spoofed
69318,29645,130708,72583,-78642,-92892,Spoofed
69319,29646,130709,72584,-78641,-92891,Spoofed
69320,29647,130710,72585,-78640,-92890,Spoofed
69321,29648,130711,72586,-78639,-92889,Spoofed
69322,29649,130712,72587,-78638,-92888,Spoofed
69323,29650,130713,72588,-78637,-92887,Spoofed
69324,29651,130714,72589,-78636,-92886,Spoofed
69325,29652,130715,72590,-78635,-92885,Spoofed
69326,29653,130716,72591,-78634,-92884,Spoofed
69327,29654,130717,72592,-78633,-92883,Spoofed
69328,29655,130718,72593,-78632,-92882,Spoofed
69329,29656,130719,72594,-78631,-92881,Spoofed
69330,29657,130720,72595,-78630,-92880,Spoofed
69331,29658,130721,72596,-78629,-92879,Spoofed
69332,29659,130722,72597,-78628,-92878,Spoofed
69333,29660,130723,72598,-78627,-92877,Spoofed
69334,29661,130724,72599,-78626,-92876,Spoofed
69335,29662,130725,72600,-78625,-92875,Spoofed
69336,29663,130726,72601,-78624,-92874,Spoofed
69337,29664,130727,72602,-78623,-92873,Spoofed
69338,29665,130728,72603,-78622,-92872,Spoofed
69339,29666,130729,72604,-78621,-92871,Spoofed
69340,29667,130730,72605,-78620,-92870,Spoofed
69341,29668,130731,72606,-78619,-92869,Spoofed
69342,29669,130732,72607,-78618,-92868,Spoofed
69343,29670,130733,72608,-78617,-92867,Spoofed
69344,29671,130734,72609,-78616,-92866,Spoofed
69345,29672,130735,72610,-78615,-92865,Spoofed
69346,29673,130736,72611,-78614,-92864,Spoofed
69347,29674,130737,72612,-78613,-92863,Spoofed
69348,29675,130738,72613,-78612,-92862,Spoofed
69349,29676,130739,72614,-78611,-92861,Spoofed
69350,29677,130740,72615,-78610,-92860,Spoofed
69351,29678,130741,72616,-78609,-92859,Spoofed
69352,29679,130742,72617,-78608,-92858,Spoofed
69353,29680,130743,72618,-78607,-92857,Spoofed
69354,29681,130744,72619,-78606,-92856,Spoofed
69355,29682,130745,72620,-78605,-92855,Spoofed
69356,29683,130746,72621,-78604,-92854,Spoofed
69357,29684,130747,72622,-78603,-92853,Spoofed
69358,29685,130748,72623,-78602,-92852,Spoofed
69359,29686,130749,72624,-78601,-92851,Spoofed
69360,29687,130750,72625,-78600,-92850,Spoofed
69361,29688,130751,72626,-78599,-92849,Spoofed
69362,29689,130752,72627,-78598,-92848,Spoofed
69363,29690,130753,72628,-78597,-92847,Spoofed
69364,29691,130754,72629,-78596,-92846,Spoofed
69365,29692,130755,72630,-78595,-92845,Spoofed
69366,29693,130756,72631,-78594,-92844,Spoofed
69367,29694,130757,72632,-78593,-92843,Spoofed
69368,29695,130758,72633,-78592,-92842,Spoofed
69369,29696,130759,72634,-78591,-92841,Spoofed
69370,29697,130760,72635,-78590,-92840,Spoofed
69371,29698,130761,72636,-78589,-92839,Spoofed
69372,29699,130762,72637,-78588,-92838,Spoofed
69373,29700,130763,72638,-78587,-92837,Spoofed
69374,29701,130764,72639,-78586,-92836,Spoofed
69375,29702,130765,72640,-78585,-92835,Spoofed
69376,29703,130766,72641,-78584,-92834,Spoofed
69377,29704,130767,72642,-78583,-92833,Spoofed
69378,29705,130768,72643,-78582,-92832,Spoofed
69379,29706,130769,72644,-78581,-92831,Spoofed
69380,29707,130770,72645,-78580,-92830,Spoofed
69381,29708,130771,72646,-78579,-92829,Spoofed
69382,29709,130772,72647,-78578,-92828,Spoofed
69383,29710,130773,72648,-78577,-92827,Spoofed
69384,29711,130774,72649,-78576,-92826,Spoofed
69385,29712,130775,72650,-78575,-92825,Spoofed
69386,29713,130776,72651,-78574,-92824,Spoofed
69387,29714,130777,72652,-78573,-92823,Spoofed
69388,29715,130778,72653,-78572,-92822,Spoofed
69389,29716,130779,72654,-78571,-92821,Spoofed
69390,29717,130780,72655,-78570,-92820,Spoofed
69391,29718,130781,72656,-78569,-92819,Spoofed
69392,29719,130782,72657,-78568,-92818,Spoofed
69393,29720,130783,72658,-78567,-92817,Spoofed
69394,29721,130784,72659,-78566,-92816,Spoofed
69395,29722,130785,72660,-78565,-92815,Spoofed
69396,29723,130786,72661,-78564,-92814,Spoofed
69397,29724,130787,72662,-78563,-92813,Spoofed
69398,29725,130788,72663,-78562,-92812,Spoofed
69399,29726,130789,72664,-78561,-92811,Spoofed
69400,29727,130790,72665,-78560,-92810,Spoofed
69401,29728,130791,72666,-78559,-92809,Spoofed
69402,29729,130792,72667,-78558,-92808,Spoofed
69403,29730,130793,72668,-78557,-92807,Spoofed
69404,29731,130794,72669,-78556,-92806,Spoofed
69405,29732,130795,72670,-78555,-92805,Spoofed
69406,29733,130796,72671,-78554,-92804,Spoofed
69407,29734,130797,72672,-78553,-92803,Spoofed
69408,29735,130798,72673,-78552,-92802,Spoofed
69409,29736,130799,72674,-78551,-92801,Spoofed
69410,29737,130800,72675,-78550,-92800,Spoofed
69411,29738,130801,72676,-78549,-92799,Spoofed
69412,29739,130802,72677,-78548,-92798,Spoofed
69413,29740,130803,72678,-78547,-92797,Spoofed
69414,29741,130804,72679,-78546,-92796,Spoofed
69415,29742,130805,72680,-78545,-92795,Spoofed
69416,29743,130806,72681,-78544,-92794,Spoofed
69417,29744,130807,72682,-78543,-92793,Spoofed
69418,29745,130808,72683,-78542,-92792,Spoofed
69419,29746,130809,72684,-78541,-92791,Spoofed
69420,29747,130810,72685,-78540,-92790,Spoofed
69421,29748,130811,72686,-78539,-92789,Spoofed
69422,29749,130812,72687,-78538,-92788,Spoofed
69423,29750,130813,72688,-78537,-92787,Spoofed
69424,29751,130814,72689,-78536,-92786,Spoofed
69425,29752,130815,72690,-78535,-92785,Spoofed
69426,29753,130816,72691,-78534,-92784,Spoofed
69427,29754,130817,72692,-78533,-92783,Spoofed
69428,29755,130818,72693,-78532,-92782,Spoofed
69429,29756,130819,72694,-78531,-92781,Spoofed
69430,29757,130820,72695,-78530,-92780,Spoofed
69431,29758,130821,72696,-78529,-92779,Spoofed
69432,29759,130822,72697,-78528,-92778,Spoofed
69433,29760,130823,72698,-78527,-92777,Spoofed
69434,29761,130824,72699,-78526,-92776,Spoofed
69435,29762,130825,72700,-78525,-92775,Spoofed
69436,29763,130826,72701,-78524,-92774,Spoofed
69437,29764,130827,72702,-78523,-92773,Spoofed
69438,29765,130828,72703,-78522,-92772,Spoofed
69439,29766,130829,72704,-78521,-92771,Spoofed
69440,29767,130830,72705,-78520,-92770,Spoofed
69441,29768,130831,72706,-78519,-92769,Spoofed
69442,29769,130832,72707,-78518,-92768,Spoofed
69443,29770,130833,72708,-78517,-92767,Spoofed
69444,29771,130834,72709,-78516,-92766,Spoofed
69445,29772,130835,72710,-78515,-92765,Spoofed
69446,29773,130836,72711,-78514,-92764,Spoofed
69447,29774,130837,72712,-78513,-92763,Spoofed
69448,29775,130838,72713,-78512,-92762,Spoofed
69449,29776,130839,72714,-78511,-92761,Spoofed
69450,29777,130840,72715,-78510,-92760,Spoofed
69451,29778,130841,72716,-78509,-92759,Spoofed
69452,29779,130842,72717,-78508,-92758,Spoofed
69453,29780,130843,72718,-78507,-92757,Spoofed
69454,29781,130844,72719,-78506,-92756,Spoofed
69455,29782,130845,72720,-78505,-92755,Spoofed
69456,29783,130846,72721,-78504,-92754,Spoofed
69457,29784,130847,72722,-78503,-92753,Spoofed
69458,29785,130848,72723,-78502,-92752,Spoofed
69459,29786,130849,72724,-78501,-92751,Spoofed
69460,29787,130850,72725,-78500,-92750,Spoofed
69461,29788,130851,72726,-78499,-92749,Spoofed
69462,29789,130852,72727,-78498,-92748,Spoofed
69463,29790,130853,72728,-78497,-92747,Spoofed
69464,29791,130854,72729,-78496,-92746,Spoofed
69465,29792,130855,72730,-78495,-92745,Spoofed
69466,29793,130856,72731,-78494,-92744,Spoofed
69467,29794,130857,72732,-78493,-92743,Spoofed
69468,29795,130858,72733,-78492,-92742,Spoofed
69469,29796,130859,72734,-78491,-92741,Spoofed
69470,29797,130860,72735,-78490,-92740,Spoofed
69471,29798,130861,72736,-78489,-92739,Spoofed
69472,29799,130862,72737,-78488,-92738,Spoofed
69473,29800,130863,72738,-78487,-92737,Spoofed
69474,29801,130864,72739,-78486,-92736,Spoofed
69475,29802,130865,72740,-78485,-92735,Spoofed
69476,29803,130866,72741,-78484,-92734,Spoofed
69477,29804,130867,72742,-78483,-92733,Spoofed
69478,29805,130868,72743,-78482,-92732,Spoofed
69479,29806,130869,72744,-78481,-92731,Spoofed
69480,29807,130870,72745,-78480,-92730,Spoofed
69481,29808,130871,72746,-78479,-92729,Spoofed
69482,29809,130872,72747,-78478,-92728,Spoofed
69483,29810,130873,72748,-78477,-92727,Spoofed
69484,29811,130874,72749,-78476,-92726,Spoofed
69485,29812,130875,72750,-78475,-92725,Spoofed
69486,29813,130876,72751,-78474,-92724,Spoofed
69487,29814,130877,72752,-78473,-92723,Spoofed
69488,29815,130878,72753,-78472,-92722,Spoofed
69489,29816,130879,72754,-78471,-92721,Spoofed
69490,29817,130880,72755,-78470,-92720,Spoofed
69491,29818,130881,72756,-78469,-92719,Spoofed
69492,29819,130882,72757,-78468,-92718,Spoofed
69493,29820,130883,72758,-78467,-92717,Spoofed
69494,29821,130884,72759,-78466,-92716,Spoofed
69495,29822,130885,72760,-78465,-92715,Spoofed
69496,29823,130886,72761,-78464,-92714,Spoofed
69497,29824,130887,72762,-78463,-92713,Spoofed
69498,29825,130888,72763,-78462,-92712,Spoofed
69499,29826,130889,72764,-78461,-92711,Spoofed
69500,29827,130890,72765,-78460,-92710,Spoofed
69501,29828,130891,72766,-78459,-92709,Spoofed
69502,29829,130892,72767,-78458,-92708,Spoofed
69503,29830,130893,72768,-78457,-92707,Spoofed
69504,29831,130894,72769,-78456,-92706,Spoofed
69505,29832,130895,72770,-78455,-92705,Spoofed
69506,29833,130896,72771,-78454,-92704,Spoofed
69507,29834,130897,72772,-78453,-92703,Spoofed
69508,29835,130898,72773,-78452,-92702,Spoofed
69509,29836,130899,72774,-78451,-92701,Spoofed
69510,29837,130900,72775,-78450,-92700,Spoofed
69511,29838,130901,72776,-78449,-92699,Spoofed
69512,29839,130902,72777,-78448,-92698,Spoofed
69513,29840,130903,72778,-78447,-92697,Spoofed
69514,29841,130904,72779,-78446,-92696,Spoofed
69515,29842,130905,72780,-78445,-92695,Spoofed
69516,29843,130906,72781,-78444,-92694,Spoofed
69517,29844,130907,72782,-78443,-92693,Spoofed
69518,29845,130908,72783,-78442,-92692,Spoofed
69519,29846,130909,72784,-78441,-92691,Spoofed
69520,29847,130910,72785,-78440,-92690,Spoofed
69521,29848,130911,72786,-78439,-92689,Spoofed
69522,29849,130912,72787,-78438,-92688,Spoofed
69523,29850,130913,72788,-78437,-92687,Spoofed
69524,29851,130914,72789,-78436,-92686,Spoofed
69525,29852,130915,72790,-78435,-92685,Spoofed
69526,29853,130916,72791,-78434,-92684,Spoofed
69527,29854,130917,72792,-78433,-92683,Spoofed
69528,29855,130918,72793,-78432,-92682,Spoofed
69529,29856,130919,72794,-78431,-92681,Spoofed
69530,29857,130920,72795,-78430,-92680,Spoofed
69531,29858,130921,72796,-78429,-92679,Spoofed
69532,29859,130922,72797,-78428,-92678,Spoofed
69533,29860,130923,72798,-78427,-92677,Spoofed
69534,29861,130924,72799,-78426,-92676,Spoofed
69535,29862,130925,72800,-78425,-92675,Spoofed
69536,29863,130926,72801,-78424,-92674,Spoofed
69537,29864,130927,72802,-78423,-92673,Spoofed
69538,29865,130928,72803,-78422,-92672,Spoofed
69539,29866,130929,72804,-78421,-92671,Spoofed
69540,29867,130930,72805,-78420,-92670,Spoofed
69541,29868,130931,72806,-78419,-92669,Spoofed
69542,29869,130932,72807,-78418,-92668,Spoofed
69543,29870,130933,72808,-78417,-92667,Spoofed
69544,29871,130934,72809,-78416,-92666,Spoofed
69545,29872,130935,72810,-78415,-92665,Spoofed
69546,29873,130936,72811,-78414,-92664,Spoofed
69547,29874,130937,72812,-78413,-92663,Spoofed
69548,29875,130938,72813,-78412,-92662,Spoofed
69549,29876,130939,72814,-78411,-92661,Spoofed
69550,29877,130940,72815,-78410,-92660,Spoofed
69551,29878,130941,72816,-78409,-92659,Spoofed
69552,29879,130942,72817,-78408,-92658,Spoofed
69553,29880,130943,72818,-78407,-92657,Spoofed
69554,29881,130944,72819,-78406,-92656,Spoofed
69555,29882,130945,72820,-78405,-92655,Spoofed
69556,29883,130946,72821,-78404,-92654,Spoofed
69557,29884,130947,72822,-78403,-92653,Spoofed
69558,29885,130948,72823,-78402,-92652,Spoofed
69559,29886,130949,72824,-78401,-92651,Spoofed
69560,29887,130950,72825,-78400,-92650,Spoofed
69561,29888,130951,72826,-78399,-92649,Spoofed
69562,29889,130952,72827,-78398,-92648,Spoofed
69563,29890,130953,72828,-78397,-92647,Spoofed
69564,29891,130954,72829,-78396,-92646,Spoofed
69565,29892,130955,72830,-78395,-92645,Spoofed
69566,29893,130956,72831,-78394,-92644,Spoofed
69567,29894,130957,72832,-78393,-92643,Spoofed
69568,29895,130958,72833,-78392,-92642,Spoofed
69569,29896,130959,72834,-78391,-92641,Spoofed
69570,29897,130960,72835,-78390,-92640,Spoofed
69571,29898,130961,72836,-78389,-92639,Spoofed
69572,29899,130962,72837,-78388,-92638,Spoofed
69573,29900,130963,72838,-78387,-92637,Spoofed
69574,29901,130964,72839,-78386,-92636,Spoofed
69575,29902,130965,72840,-78385,-92635,Spoofed
69576,29903,130966,72841,-78384,-92634,Spoofed
69577,29904,130967,72842,-78383,-92633,Spoofed
69578,29905,130968,72843,-78382,-92632,Spoofed
69579,29906,130969,72844,-78381,-92631,Spoofed
69580,29907,130970,72845,-78380,-92630,Spoofed
69581,29908,130971,72846,-78379,-92629,Spoofed
69582,29909,130972,72847,-78378,-92628,Spoofed
69583,29910,130973,72848,-78377,-92627,Spoofed
69584,29911,130974,72849,-78376,-92626,Spoofed
69585,29912,130975,72850,-78375,-92625,Spoofed
69586,29913,130976,72851,-78374,-92624,Spoofed
69587,29914,130977,72852,-78373,-92623,Spoofed
69588,29915,130978,72853,-78372,-92622,Spoofed
69589,29916,130979,72854,-78371,-92621,Spoofed
69590,29917,130980,72855,-78370,-92620,Spoofed
69591,29918,130981,72856,-78369,-92619,Spoofed
69592,29919,130982,72857,-78368,-92618,Spoofed
69593,29920,130983,72858,-78367,-92617,Spoofed
69594,29921,130984,72859,-78366,-92616,Spoofed
69595,29922,130985,72860,-78365,-92615,Spoofed
69596,29923,130986,72861,-78364,-92614,Spoofed
69597,29924,130987,72862,-78363,-92613,Spoofed
69598,29925,130988,72863,-78362,-92612,Spoofed
69599,29926,130989,72864,-78361,-92611,Spoofed
69600,29927,130990,72865,-78360,-92610,Spoofed
69601,29928,130991,72866,-78359,-92609,Spoofed
69602,29929,130992,72867,-78358,-92608,Spoofed
69603,29930,130993,72868,-78357,-92607,Spoofed
69604,29931,130994,72869,-78356,-92606,Spoofed
69605,29932,130995,72870,-78355,-92605,Spoofed
69606,29933,130996,72871,-78354,-92604,Spoofed
69607,29934,130997,72872,-78353,-92603,Spoofed
69608,29935,130998,72873,-78352,-92602,Spoofed
69609,29936,130999,72874,-78351,-92601,Spoofed
69610,29937,131000,72875,-78350,-92600,Spoofed
69611,29938,131001,72876,-78349,-92599,Spoofed
69612,29939,131002,72877,-78348,-92598,Spoofed
69613,29940,131003,72878,-78347,-92597,Spoofed
